Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.000000,0.000000,0.000000,0.005509,0.130189,0.074300,4.242641
0.005509,0.130189,0.074300,-0.030423,0.273483,0.100297,4.123106
0.005509,0.130189,0.074300,0.029443,0.135009,0.222300,1.000000
-0.030423,0.273483,0.100297,-0.036738,0.406932,0.032096,4.123106
-0.036738,0.406932,0.032096,-0.037928,0.556877,0.035994,4.000000
-0.036738,0.406932,0.032096,-0.179493,0.366229,0.010551,1.000000
-0.037928,0.556877,0.035994,-0.042915,0.706794,0.036101,4.000000
-0.042915,0.706794,0.036101,-0.035825,0.855969,0.050118,3.872983
-0.042915,0.706794,0.036101,-0.073270,0.720015,0.182401,1.000000
-0.035825,0.855969,0.050118,-0.021047,1.004681,0.037215,3.741657
-0.035825,0.855969,0.050118,-0.053205,0.837062,-0.097667,1.000000
-0.073270,0.720015,0.182401,-0.104517,0.777862,0.317225,1.000000
-0.021047,1.004681,0.037215,0.004096,1.152171,0.026525,3.316625
-0.021047,1.004681,0.037215,-0.127159,1.063498,0.125423,1.000000
0.004096,1.152171,0.026525,0.015849,1.285387,-0.041412,3.162278
-0.021047,1.004681,0.037215,0.123585,1.021625,0.073195,1.414214
0.004096,1.152171,0.026525,0.131545,1.155893,-0.052488,1.000000
-0.127159,1.063498,0.125423,-0.260043,1.027182,0.184779,1.000000
0.015849,1.285387,-0.041412,-0.087573,1.391808,-0.063284,2.645751
0.015849,1.285387,-0.041412,-0.002865,1.260133,-0.188082,1.732051
0.123585,1.021625,0.073195,0.264974,1.068430,0.091040,1.414214
-0.260043,1.027182,0.184779,-0.370503,0.980199,0.274729,1.000000
-0.087573,1.391808,-0.063284,-0.142344,1.530765,-0.049454,2.449490
-0.087573,1.391808,-0.063284,-0.233951,1.359041,-0.063170,1.000000
-0.002865,1.260133,-0.188082,0.000119,1.268733,-0.337805,1.732051
0.264974,1.068430,0.091040,0.402346,1.121258,0.119988,1.414214
-0.142344,1.530765,-0.049454,-0.111618,1.677584,-0.049686,2.449490
-0.233951,1.359041,-0.063170,-0.383459,1.369927,-0.068541,1.000000
